,shot,dda,t1,t2,Tepedheight(keV),error_Tepedheight(keV),nepedheight1019(m3),error_nepedheight1019(m3),pepedheight(kPa),error_pepedheight(kPa),TepsiN09preELM(keV),error_TepsiN09preELM(keV),nepsiN09preELM1019(m3),error_nepsiN09preELM1019(m3),pepsiN09preELM(kPa),error_pepsiN09preELM(kPa),Tepedestalwidth(psiN),error_Tepedestalwidth(psiN),Nepedestalwidth(psiN),error_Nepedestalwidth(psiN),pepedestalwidth(psiN),error_pepedestalwidth(psiN),TepedestalwidthRmid(cm),error_TepedestalwidthRmid(cm),NepedestalwidthRmid(cm),error_NepedestalwidthRmid(cm),pepedestalwidthRmid(cm),error_pepedestalwidthRmid(cm),neseparatrixfromexpdata1019(m3),error_neseparatrixfromexpdata1019(m3),neseparatrixfromfit1019(m3),error_neseparatrixfromfit1019(m3),neposition(psiN),error_neposition(psiN),Teposition(psiN),error_Teposition(psiN),peposition(psiN),error_peposition(psiN),nepositionRmid(m),error_nepositionRmid(m),TepositionRmid(m),error_TepositionRmid(m),pepositionRmid(m),error_pepositionRmid(m),separatrixpositionRmid(m),error_separatrixpositionRmid(m),neinnerslope,error_neinnerslope,Teinnerslope,error_Teinnerslope,peinnerslope,error_peinnerslope,beta_polped(electrons),error_beta_polped(electrons),nupedestal,error_nupedestal,rhopedestal,error_rhopedestal,Zeff,error_Zeff,BetaN(dia),error_BetaN(dia),BetaN(MHD),error_BetaN(MHD),Ip(MA),error_Ip(MA),B(T),error_B(T),R(m),error_R(m),a(m),error_a(m),averagetriangularity,error_averagetriangularity,Meff,error_Meff,P_NBI(MW),error_P_NBI(MW),P_ICRH(MW),error_P_ICRH(MW),P_TOTPNBIPohmPICRHPshi(MW),error_P_TOTPNBIPohmPICRHPshi(MW),plasmavolume(m3),error_plasmavolume(m3),q95,error_q95,gasflowrateofmainspecies1022(es),error_gasflowrateofmainspecies1022(es),H(HD),error_H(HD),electronratefromGIM1(es),error_electronratefromGIM1(es),electronratefromGIM2(es),error_electronratefromGIM2(es),electronratefromGIM3(es),error_electronratefromGIM3(es),electronratefromGIM4(es),error_electronratefromGIM4(es),electronratefromGIM5(es),error_electronratefromGIM5(es),electronratefromGIM6(es),error_electronratefromGIM6(es),electronratefromGIM7(es),error_electronratefromGIM7(es),electronratefromGIM8(es),error_electronratefromGIM8(es),electronratefromGIM9(es),error_electronratefromGIM9(es),electronratefromGIM10(es),error_electronratefromGIM10(es),electronratefromGIM11(es),error_electronratefromGIM11(es),electronratefromGIM12(es),error_electronratefromGIM12(es),electronratefromGIM13(es),error_electronratefromGIM13(es),electronratefromGIM14(es),error_electronratefromGIM14(es),electronratefromGIM15(es),error_electronratefromGIM15(es),subdivertorpressurefrombar1(10u6nbar),error_subdivertorpressurefrombar1(10u6nbar),Atomicnumberofseededimpurity,error_Atomicnumberofseededimpurity,flowrateofseededimpurity1022(es),error_flowrateofseededimpurity1022(es),FLAGDEUTERIUM,FLAGHYDROGEN,FLAGHDmix,FLAGHeJETC,FLAGSeeding,FLAGKicks,FLAGRMP,FLAGpellets,FLAGHRTSdatavalidated,divertorconfiguration
272,0.0,T001pbilkova,58.293,59.5614,0.665023,0.012378217,8.650131,0.05906846,9.093532,0.18029101,0.8418533,0.015669597,8.951335,0.061125264,13.848336,0.27456114,0.046652917,0.004182398,0.04148205,0.003069672,0.038879603,0.0036684696,2.2911367,0.20539863,2.0402653,0.15097965,1.8977362,0.29152504,3.6854532,0.5631272,4.0589824,0.29152504,0.9990216,0.0005642421,0.97943527,0.0008718051,0.9784555,0.001083413,3.838599,0.0021686521,3.829458,0.0034026373,3.8289773,0.0042409883,3.8395612,0.0,0.014693474,0.0009185303,0.15371527,0.0066060172,0.16025865,0.012157242,0.17505905,0.003470772,1.0223478,0.045039583,4.2731e-05,3.977e-07,1.4465767,0.025745055,2.0645654,0.04195908,2.0056207,0.049031105,2.478078,0.0069615324,2.2725763,0.007355829,2.9266114,0.0025039304,0.9097141,0.001919434,0.40813455,0.0036476161,1.9715438,0.0022516446,11.315192,2.9652243,1.0194753,0.18893121,13.030386,0.21205436,75.35625,0.2026987,2.9966292,0.015133858,1.0026921,0.0022260796,0.028498726,0.002923135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29339132,0.0002911834,0.0,0.0,0.0,0.0,1.0026921,0.0022260796,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
273,0.0,T001pbilkova,57.521,60.8428,0.6675742,0.008759472,9.332033,0.04846018,9.879858,0.13942008,0.8531309,0.0111942245,9.554099,0.049613345,14.94521,0.21090002,0.045734495,0.0027593675,0.03980055,0.002299648,0.03808974,0.0025399302,2.2338665,0.13477919,1.9468564,0.112487994,1.941317,0.18689246,3.4911048,0.46793005,4.052487,0.18689246,0.9970498,0.0004319916,0.9783537,0.0006122575,0.9783537,0.0007806927,3.8377461,0.0016622317,3.8286114,0.0023905067,3.8286114,0.0030577271,3.8391886,0.0,0.0098227775,0.0006044253,0.15960926,0.0047399416,0.15639918,0.010685893,0.1899047,0.002679849,1.0896418,0.034253515,4.28366e-05,2.81e-07,1.469621,0.07362315,2.0705123,0.04908396,1.9714556,0.06720468,2.4794157,0.0060704467,2.2759817,0.006692491,2.9280586,0.0029543948,0.9071378,0.0034419561,0.40713716,0.004405273,1.9688532,0.0039010155,12.288414,0.8323443,1.2926469,0.37982863,14.217492,0.25793695,75.21939,0.2670701,2.9906657,0.014919967,1.1635536,0.28714702,0.02995064,0.0046478673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26875523,0.0006449093,0.0,0.0,0.0,0.0,1.1635536,0.28714702,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
274,0.0,T001pbilkova,57.3145,59.809,0.6283126,0.031080805,8.439887,0.11405381,8.172562,0.41908696,0.8077092,0.039955035,8.988063,0.12146167,13.534967,0.6940698,0.049288034,0.0063102036,0.02637692,0.0032964896,0.035281282,0.005034159,2.4282591,0.31088296,1.3006624,0.16255197,1.901002,0.2682099,2.032198,0.2575674,1.9717926,0.2682099,0.9919678,0.0005639173,0.9781902,0.001757554,0.98048854,0.0019286141,3.8357408,0.002180017,3.8292353,0.006864458,3.8300836,0.0075533935,3.839701,0.0,0.018615928,0.002517592,0.1764061,0.019617349,0.18742111,0.032815382,0.16004874,0.008207261,1.1306275,0.12713666,4.15714e-05,1.0282e-06,1.4205298,0.06862712,2.0696077,0.074376844,1.9919032,0.0766052,2.4838665,0.0064772386,2.2717102,0.008821169,2.9244325,0.003582728,0.91135633,0.0033010736,0.4093145,0.0047063087,1.963294,0.00588997,10.893516,1.0244287,1.8204606,0.4222161,13.282177,0.37914684,75.364624,0.26860973,2.9902236,0.015236069,1.1935438,0.53245366,0.03680715,0.007346984,0.0,0.0,0.026933542,0.09117401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3033357,0.000617674,0.0,0.0,0.0,0.0,1.1666101,0.4583368,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
275,0.0,T001pbilkova,53.8989,59.2146,1.0133759,0.027714804,7.8489685,0.101811945,12.570271,0.38049188,1.3678372,0.037408963,8.228781,0.10673863,21.191292,0.6414432,0.03549311,0.002273799,0.03765247,0.0015861251,0.029589836,0.0019603514,1.7391329,0.11141426,1.8458666,0.07775786,1.6594213,0.120048136,1.9980959,0.5460562,1.9875315,0.120048136,0.9897727,0.0005648764,0.98010564,0.0008537438,0.97726107,0.001066034,3.8283112,0.0021846017,3.823574,0.0033260717,3.822181,0.0041697337,3.8333275,0.0,0.020290134,0.003674291,0.15234642,0.009489233,0.16500399,0.03159833,0.172234,0.005213383,0.41374633,0.027997945,4.25626e-05,5.82e-07,1.9219779,0.11622739,1.8811034,0.059614126,1.8176136,0.07280572,2.9737375,0.011764418,2.817192,0.0010149674,2.923594,0.0069630085,0.90636486,0.008781473,0.40548068,0.012725892,1.9374024,0.014771605,18.691462,0.2828843,1.3057604,0.41307607,20.627588,0.614233,75.116165,0.6185485,3.0904052,0.028056206,0.0043678856,0.030234857,0.06254216,0.01628134,0.0,0.0,0.0043678856,0.030234857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38202393,0.0020983627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
276,0.0,T001pbilkova,56.6459,58.8083,1.1605487,0.049758106,7.6733775,0.11866465,14.110478,0.64313203,1.555834,0.06670582,8.0025215,0.12375468,23.744207,1.0822213,0.031849887,0.003980574,0.036022324,0.0028096184,0.027271107,0.003445209,1.5012617,0.18762651,1.6985203,0.13247879,0.09868164,,1.9499847,0.49683878,1.8850787,,0.9895813,0.0006018999,0.9808924,0.001313793,0.9779961,0.0015166128,3.823645,0.0023247965,3.8195503,0.005111515,3.8181853,0.005922286,3.82856,0.0,0.01716362,0.0043854415,0.13244812,0.013546119,0.1438446,0.0395885,0.19478327,0.008877896,0.31477147,0.031859197,4.6297e-05,9.925e-07,2.1038094,0.08526168,1.9718175,0.062802516,1.8891473,0.08556717,2.9714034,0.009912759,2.8190126,0.0003677983,2.9263744,0.0045580906,0.8975887,0.0032000395,0.40593603,0.0060510933,1.8952227,0.006267553,18.82196,0.024589395,1.9486779,0.23578067,21.40823,0.31860745,74.53582,0.32157445,3.0826476,0.01827698,0.0,0.0,0.104711056,0.009584012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38254344,0.0008627796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
277,0.0,T002pbohm,50.8621,55.789,1.0104306,0.024596613,4.3658104,0.035732314,6.928985,0.17794877,1.2742008,0.031017493,4.643987,0.038009074,10.971544,0.28176895,0.022662131,0.0021221489,0.028517246,0.0023471438,0.019984128,0.0022374762,1.1325685,0.106057055,1.4258851,0.117359065,1.0832127,0.1902258,1.8935981,0.31628633,1.7885443,0.1902258,0.99743587,0.0004037011,0.98781365,0.0007933361,0.98588896,0.0009334098,3.856937,0.0015610826,3.8521295,0.0030934792,3.851168,0.0036462161,3.8582196,0.0,0.018646477,0.001419775,0.06726381,0.0048147663,0.08604016,0.008991632,0.14175987,0.0036406477,0.19352716,0.011005887,5.58289e-05,6.795e-07,2.215756,0.10261321,1.9656019,0.05246192,1.9072405,0.06308624,2.4839416,0.007755851,2.0286493,0.0023238922,2.9056718,0.0042524007,0.95031255,0.003812337,0.26416662,0.003744604,1.9793974,0.0026467072,10.824573,0.075498216,0.9042196,0.24065138,12.242873,0.3490157,80.391014,0.4227267,2.7145543,0.01650232,0.0,0.0,0.020938598,0.009807689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
278,0.0,T003pbohm,50.7003,52.4293,1.4524862,0.0483376,5.146258,0.045027327,11.759848,0.4046585,1.6649008,0.055406597,5.45021,0.047686763,15.974595,0.54968876,0.042552236,0.0047836467,0.030770665,0.003879739,0.032959316,0.0043552066,2.1173363,0.23802717,1.5318084,0.19313905,1.3796414,0.25851017,0.946048,0.13015679,0.6557141,0.25851017,0.9855097,0.0004712431,0.9725352,0.0015703122,0.97177213,0.001702229,3.8591516,0.001845742,3.852697,0.0062162858,3.8523173,0.006758268,3.866369,0.0,0.021330478,0.0013921822,0.085707314,0.009155899,0.10747979,0.013455138,0.14885066,0.0051219785,0.1128459,0.008498195,5.69365e-05,9.474e-07,2.278958,0.09395328,1.9020016,0.082662255,1.8459048,0.10154745,2.983872,0.010446637,2.385897,0.0014258855,2.9087307,0.005220882,0.9542076,0.0031954627,0.26409495,0.003448566,1.9861908,0.0017889064,16.091574,1.5169597,0.75799096,0.422362,17.40081,0.63973755,80.81008,0.25621283,2.6494617,0.0152180195,0.0,0.0,0.013676863,0.007483829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
279,0.0,T004pbohm,53.1616,55.5211,1.3920112,0.032965448,5.234171,0.05651345,11.526565,0.3000025,1.6641634,0.039410524,5.508305,0.05947328,16.526327,0.43013155,0.0278868,0.0031408998,0.038963728,0.0034649603,0.025679499,0.003306902,1.3779579,0.15519989,1.9260299,0.17127769,1.2425423,0.2212833,1.7156593,0.2957411,1.5375051,0.2212833,0.991012,0.000702487,0.9820213,0.0010971769,0.9790241,0.001359834,3.8524008,0.002729401,3.8479588,0.004298474,3.846478,0.005345196,3.8568447,0.0,0.02224348,0.0020053838,0.066033386,0.0054955627,0.088250056,0.010827942,0.15373181,0.0040011858,0.11912074,0.0069281557,5.59342e-05,6.623e-07,2.6645021,0.17765307,1.916285,0.08067386,1.8348402,0.10143669,2.9786325,0.011551079,2.3811898,0.0009360603,2.9037306,0.0058636246,0.9494756,0.0034950415,0.26297352,0.004119085,1.9856195,0.0013503757,18.242352,0.75928384,0.9152216,0.21985438,19.855827,0.67101586,80.26807,0.31148314,2.654603,0.017105797,0.0,0.0,0.01437696,0.006697007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
280,0.0,T001pbilkova,51.173,53.1218,1.5952709,0.074233286,5.581286,0.072022356,14.026985,0.6773555,1.9064913,0.08871541,5.942772,0.07668706,20.196003,0.9752541,0.034110513,0.0034530896,0.03234266,0.003292939,0.027913883,0.0033739647,1.7665842,0.17883559,1.6761693,0.17065766,1.032623,0.1985373,1.2712611,0.28102836,1.0084838,0.1985373,0.9876623,0.000530579,0.9764373,0.0015092205,0.9747534,0.0016578881,3.859579,0.002072958,3.854057,0.005951367,3.8528945,0.006555585,3.8659759,0.0,0.023888955,0.0029848001,0.08621459,0.01316271,0.109064735,0.021516591,0.1349579,0.006517044,0.10045703,0.010645526,5.0249e-05,1.1691e-06,2.7589247,0.144044,1.7097256,0.07070871,1.5999225,0.09521499,3.4781065,0.011252889,2.7911181,0.004660677,2.910031,0.0053638956,0.9520281,0.003073547,0.26150262,0.0035304865,1.9882826,0.0012565097,21.69361,0.009897241,2.3795702,0.61019003,24.995687,0.52546316,80.69946,0.22905242,2.6370015,0.01486927,0.0,0.0,0.012015568,0.0056772185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
281,0.0,T001pbilkova,50.1316,50.7214,1.5157262,0.088957384,6.019945,0.15188044,14.454864,0.92341584,1.8785903,0.110253744,6.185458,0.15605626,21.04423,1.3443624,0.015300867,0.01196993,0.03241596,0.006720735,0.016701628,0.009706892,0.78680235,0.6155186,1.6675462,0.34572893,0.8460558,0.47560665,2.4069424,0.6620624,2.3773777,0.47560665,0.99648005,0.0011661669,0.99002504,0.001740895,0.98826367,0.002201377,3.8672488,0.004525445,3.8639293,0.0067950888,3.8630242,0.008613942,3.8690598,0.0,0.009257861,0.0052859318,0.040836897,0.010406192,0.05467575,0.034186035,0.15110412,0.009652941,0.1075646,0.015339654,4.9144e-05,1.4421e-06,2.4916055,0.1187177,1.6516186,0.07915085,1.5814552,0.10540098,3.485922,0.012570613,2.7883859,0.01695085,2.9052346,0.0067322617,0.9567124,0.0031576783,0.2585825,0.00391774,1.9911604,0.0012323024,19.899122,0.02703993,0.0,0.0,20.413568,1.2110791,80.88199,0.20935667,2.636937,0.023678789,0.0,0.0,0.009665438,0.0060655647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
